Protocol,FND,HND,AND,Packets_BS,Alive_Final,Residual_Energy,FND_Std,HND_Std,AND_Std,Packets_BS_Std,FND_CI95,HND_CI95,AND_CI95,Packets_BS_CI95
LEACH,348.466666666667,1048.6,1411.03333333333,5276.13333333333,0,0,11.9560497839705,38.5080376741953,27.3539801470473,151.839691629109,4.27841746801914,13.7799243078848,9.78849608320304,54.3351358301958
SEP,932.566666666667,1068.93333333333,1093.2,5266.66666666667,0,0,53.1268380344646,16.9744906649164,16.3799709485659,81.2787172946121,19.0111948322611,6.07424347369924,5.8614973254751,29.0852154461316
EDD_LEACH,348.966666666667,1046.46666666667,1406.9,5219.66666666667,0,0.000262270606505281,11.7868522115733,33.0420143551158,35.5162420348192,108.134760538791,4.2178708943288,11.8239329837015,12.7093239879187,38.6955270970432
AWARE_UC,1129.86666666667,2371.4,4384.4,10137.6,0.833333333333333,0.153552672030909,18.5020657436301,146.835258379751,169.959346051769,39.3241173695806,6.62087919524346,52.5443223911036,60.8191708917018,14.0719546763693
