Protocol,GroupCount,mean_FND,mean_HND,mean_AND,mean_Packets_BS,mean_Alive_Final,mean_Residual_Energy
AERT_UC,168,640.27380952381,1711.77619047619,4137.75,12655.5845238095,1.11071428571429,0.334873743303174
EDD_LEACH,168,164.909523809524,595.546428571428,1055.71428571429,4915.10476190476,0,0.000291244233175357
LEACH,168,165.052380952381,595.052380952381,1054.06666666667,4909.88690476191,0,0
